x	y	z
-1.99	0.0	0.7503981003343291
-1.98	0.0	0.7345021566612142
-1.97	0.0	0.6075378992480625
-1.95	0.0	0.273933757057349
-1.91	0.0	0.5964848607589432
-1.89	0.0	0.35347394785825625
-1.88	0.0	0.6227407572241908
-1.84	0.0	0.3560699591224825
-1.82	0.0	0.6468094667914166
-1.79	-0.01	0.6032927256230792
-1.79	0.0	0.19174194602972894
-1.79	0.01	0.6032927256233108
-1.78	-0.02	0.7835552916965359
-1.78	-0.01	0.2643222695158963
-1.78	0.0	0.11156517310611491
-1.78	0.01	0.2643222695159936
-1.78	0.02	0.783555291696842
-1.77	-0.06	0.5235907243474646
-1.77	-0.05	0.747139733637303
-1.77	-0.02	0.3367877936738811
-1.77	-0.01	0.12338903069134854
-1.77	0.0	0.08546388743219402
-1.77	0.01	0.12338903069137538
-1.77	0.02	0.33678779367402345
-1.77	0.05	0.7471397336366746
-1.77	0.06	0.5235907243455216
-1.76	-0.03	0.8019154325338724
-1.76	-0.02	0.14752449279153174
-1.76	-0.01	0.031846577743785055
-1.76	0.0	0.024956497849708548
-1.76	0.01	0.031846577743775834
-1.76	0.02	0.14752449279166088
-1.76	0.03	0.8019154325342471
-1.75	-0.02	0.27601210169620916
-1.75	-0.01	0.07976091218940316
-1.75	0.0	0.03807245496514633
-1.75	0.01	0.0797609121894257
-1.75	0.02	0.2760121016963603
-1.74	-0.02	0.8022395420158086
-1.74	-0.01	0.35354402957848546
-1.74	0.0	0.2564165294524501
-1.74	0.01	0.3535440295785584
-1.74	0.02	0.8022395420160888
-1.73	0.0	0.7707203825594312
-1.69	0.0	0.017293632337973985
-1.66	0.0	0.3463286299357651
-1.65	0.0	0.5104589227901724
-1.61	0.0	0.8881926959744942
-1.6	-0.01	0.8174106299151952
-1.6	0.0	0.30103112439923807
-1.6	0.01	0.8174106299154619
-1.59	-0.01	0.8546652542530379
-1.59	0.0	0.3840380828822462
-1.59	0.01	0.8546652542533107
-1.58	0.0	0.8465630211855819
-1.57	0.0	0.8310909566859517
-1.56	-0.01	0.8584988351799515
-1.56	0.0	0.3360803060194075
-1.56	0.01	0.8584988351802294
-1.55	0.0	0.3973572329396455
-1.49	-0.04	0.4464541749643659
-1.49	-0.03	0.5384739189353553
-1.49	-0.02	0.8490956988999824
-1.49	0.02	0.8490956988999049
-1.49	0.03	0.5384739189352019
-1.49	0.04	0.44645417496458945
-1.48	-0.04	0.4934634357575093
-1.48	-0.03	0.5307127405520867
-1.48	-0.02	0.7923953204707745
-1.48	0.02	0.7923953204707032
-1.48	0.03	0.5307127405519791
-1.48	0.04	0.49346343575768054
-1.47	-0.03	0.8610759045394472
-1.47	0.03	0.8610759045394519
-1.42	-0.15	0.7654114730046928
-1.42	-0.14	0.8803197672618795
-1.42	0.14	0.8803197672617114
-1.42	0.15	0.7654114730049578
-1.41	-0.15	0.6265053767648673
-1.41	-0.14	0.5597056717848506
-1.41	-0.13	0.5972170827339705
-1.41	-0.12	0.4938227735216262
-1.41	-0.11	0.6970868254803417
-1.41	0.11	0.6970868254802105
-1.41	0.12	0.4938227735216205
-1.41	0.13	0.5972170827340071
-1.41	0.14	0.5597056717847728
-1.41	0.15	0.6265053767652179
-1.4	-0.14	0.8228817733460152
-1.4	-0.13	0.45094450649870726
-1.4	-0.12	0.029064682340830147
-1.4	-0.11	0.4124333546396336
-1.4	-0.1	0.8004626204006702
-1.4	0.1	0.8004626204005421
-1.4	0.11	0.4124333546394695
-1.4	0.12	0.029064682340989748
-1.4	0.13	0.450944506498837
-1.4	0.14	0.8228817733461555
-1.39	-0.13	0.6727254796703775
-1.39	-0.12	0.4327563778854552
-1.39	-0.11	0.5519175982024714
-1.39	-0.1	0.8060411553950276
-1.39	0.1	0.8060411553949358
-1.39	0.11	0.5519175982023836
-1.39	0.12	0.43275637788547267
-1.39	0.13	0.6727254796705051
-1.38	-0.12	0.835355312272954
-1.38	-0.11	0.8269877752677062
-1.38	0.11	0.82698777526768
-1.38	0.12	0.8353553122729925
-1.29	-0.42	0.796413718619999
-1.29	0.42	0.7964137186215093
-1.28	-0.2	0.88556348828512
-1.28	-0.19	0.30630236293657914
-1.28	-0.18	0.4754912275085998
-1.28	-0.17	0.7940757949879388
-1.28	0.17	0.7940757949878489
-1.28	0.18	0.4754912275084736
-1.28	0.19	0.3063023629366738
-1.28	0.2	0.8855634882853921
-1.27	-0.41	0.5371801823121001
-1.27	-0.36	0.3581706197373315
-1.27	-0.35	0.3782290787623371
-1.27	-0.2	0.7094197645150147
-1.27	-0.19	0.26390172915743665
-1.27	-0.18	0.4064689442327129
-1.27	-0.17	0.6885947259982002
-1.27	0.17	0.688594725998119
-1.27	0.18	0.40646894423260777
-1.27	0.19	0.263901729157511
-1.27	0.2	0.709419764515222
-1.27	0.35	0.37822907876213274
-1.27	0.36	0.35817061973755393
-1.27	0.41	0.537180182311794
-1.26	-0.41	0.6898412392749267
-1.26	-0.4	0.6632237667973174
-1.26	-0.37	0.8683230333706351
-1.26	-0.36	0.4449955116373855
-1.26	-0.35	0.4109621516935404
-1.26	-0.34	0.6312896613299521
-1.26	-0.33	0.8123074463396076
-1.26	-0.2	0.8501203911012717
-1.26	-0.19	0.6083081100075904
-1.26	-0.18	0.6123339143835845
-1.26	-0.17	0.7460873356239395
-1.26	0.17	0.7460873356238895
-1.26	0.18	0.6123339143835497
-1.26	0.19	0.6083081100076346
-1.26	0.2	0.8501203911013986
-1.26	0.33	0.8123074463395524
-1.26	0.34	0.6312896613298798
-1.26	0.35	0.4109621516934698
-1.26	0.36	0.444995511637492
-1.26	0.37	0.8683230333707772
-1.26	0.4	0.6632237667972029
-1.26	0.41	0.6898412392750679
-1.25	-0.41	0.6812124018536291
-1.25	-0.4	0.37575021232358874
-1.25	-0.36	0.748279923795599
-1.25	-0.35	0.605946634604058
-1.25	-0.34	0.5297374624402118
-1.25	-0.33	0.399195470006615
-1.25	-0.32	0.4283925137585041
-1.25	-0.31	0.8717120387888649
-1.25	-0.19	0.8378046461814637
-1.25	-0.18	0.800529196526224
-1.25	-0.17	0.8493139918956119
-1.25	0.17	0.8493139918955878
-1.25	0.18	0.8005291965262206
